Broad Major,Artistic,Auditory,Interpersonal,Kinesthetic,Literacy,Logical,Numeracy,Visual
Accounting,-2,-1,0,-2,-1,0,1,1
Actor,2,0,-2,2,-1,-2,-2,-1
Anthropology,-2,0,0,-2,1,-1,-1,-2
Computer Science,-1,-1,-1,-2,0,2,2,-1
Digital Media,1,-2,-1,-2,-2,-2,-2,2
Engineering,0,0,-1,1,-1,1,2,0
Graphic Artist,2,-2,-1,0,-2,-2,-2,2
History,-2,0,-1,-2,1,-2,-2,-1
Journalism,-2,1,0,1,2,-1,-2,1
Literature,-1,1,-1,-2,2,-1,-2,-2
Management,-2,0,1,-2,-1,0,-1,-1
Marketing,0,0,1,-2,0,0,-2,0
Musician,2,2,-1,2,-2,-1,-1,0
Painter,2,-2,-2,0,-2,-2,-2,2
Political Science,-1,0,0,-2,1,0,-2,-2
Science,-1,1,0,0,0,1,1,0
Social Studies,-2,0,0,-2,1,-1,-2,-2
Sociology,-2,0,0,-2,1,0,-1,-2
Technology,-1,0,-1,1,-1,1,2,0
