Specific Major,Broad Major
Business - Accounting,Accounting
Professional Accounting,Accounting
Performing Arts,Actor
Theatre Arts,Actor
Applied Museum Studies,History
Architecture (Co-op Option),Anthropology
Game Development,Computer Science
Internet Applications and Web Development (Co-op Option),Computer Science
Mobile Application Design and Development,Computer Science
Broadcasting - Radio,Digital Media
Broadcasting - Television,Digital Media
Interactive Multimedia Developer,Digital Media
Photography,Digital Media
Civil Engineering (Co-op Option),Engineering
Computer Engineering (Co-op Option),Engineering
Electrical Engineering,Engineering
Mechanical Engineering,Engineering
Wireless Mobility Telecommunications Engineering Technician (Co-op Option),Engineering
Animation,Graphic Artist
Graphic Design,Graphic Artist
Police Foundations,History
Tourism and Travel,History
Journalism,Journalism
Professional Writing,Journalism
Library and Information Technician,Literature
Business - Management and Entrepreneurship,Management
Business Administration (Co-op Option),Management
Hospitality Management - Hotel and Restaurant,Management
Office Administration - General,Management
Advertising and Marketing Communications Management,Marketing
Business - Marketing,Marketing
Music Industry Arts,Musician
Hairstylist,Painter
Law Clerk,Political Science
Paralegal,Political Science
Dental Assisting,Science
Dental Hygiene,Science
Medical Device Reprocessing,Science
Medical Radiation Technology,Science
Paramedic,Science
Developmental Services Worker,Social Studies
Early Childhood Education,Social Studies
Esthetician,Social Studies
Fitness and Health Promotion,Social Studies
Massage Therapy,Social Studies
Social Service Worker,Social Studies
Baking and Pastry Arts,Sociology
Child and Youth Worker,Sociology
Culinary Skills - Chef Training,Sociology
Pre-Service Firefighter Education and Training,Sociology
Public Relations,Marketing
Recreation and Leisure Services,Sociology
Biotechnology - Advanced (Co-op Option),Technology
Computer Systems Technician (Co-op Option),Technology
Powerline Technician (Co-op Option),Technology
